TransactionID,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11
1,Bread,Cheese,Eggs,Juice,Butter,,,,,,
2,Bread,Juice,Eggs,Cheese,Milk,Jam,Apples,Bananas,Chicken,Butter,
3,Juice,Butter,Apples,Bread,Jam,,,,,,
4,Bananas,Jam,Butter,Juice,Eggs,Bread,Cheese,Apples,Milk,Chicken,
5,Cheese,,,,,,,,,,
6,Bread,Butter,,,,,,,,,
7,Cheese,Jam,,,,,,,,,
8,Bananas,Eggs,Cheese,Jam,Milk,Chicken,Apples,Juice,Bread,Butter,
9,Jam,Butter,Apples,Juice,Eggs,Chicken,Bread,Cheese,Milk,Bananas,
10,Milk,Cheese,Bread,Chicken,Bananas,Eggs,Apples,Butter,Juice,Jam,
11,Jam,Apples,Bananas,Eggs,Chicken,Juice,Bread,Milk,Butter,,
12,Butter,Cheese,,,,,,,,,
13,Juice,Jam,Bananas,Bread,Chicken,Milk,Apples,Cheese,Eggs,Butter,
14,Butter,Cheese,Apples,Juice,,,,,,,
15,Chicken,Jam,Bread,Milk,Apples,Bananas,Eggs,,,,
16,Cheese,,,,,,,,,,
17,Cheese,Bread,Eggs,,,,,,,,
18,Bread,Chicken,Jam,Apples,Cheese,Bananas,,,,,
19,Bananas,Butter,Milk,Bread,Juice,Chicken,Eggs,,,,
20,Milk,Butter,Apples,Bananas,Juice,Chicken,Jam,Bread,Cheese,Eggs,
21,Cheese,Bread,Milk,Chicken,Butter,Juice,Apples,Bananas,Eggs,Jam,
22,Eggs,Cheese,,,,,,,,,
23,Apples,Chicken,Butter,Cheese,Jam,Milk,Bread,Bananas,Eggs,,
24,Apples,Juice,Bananas,Cheese,Eggs,Butter,,,,,
25,Butter,Cheese,Eggs,Bananas,Chicken,,,,,,
26,Jam,Eggs,Apples,,,,,,,,
27,Apples,,,,,,,,,,
28,Chicken,Apples,Juice,Butter,Bread,,,,,,
29,Cheese,Jam,Apples,Chicken,Bananas,,,,,,
30,Eggs,Cheese,Apples,Jam,Butter,Juice,Bread,Bananas,Milk,Chicken,
31,Bread,Apples,Chicken,Cheese,Bananas,Juice,,,,,
32,Jam,Juice,Milk,Butter,Bananas,Apples,Eggs,,,,
33,Milk,Jam,Cheese,Eggs,Butter,,,,,,
34,Milk,Apples,,,,,,,,,
35,Milk,Apples,Bread,Juice,Cheese,Butter,Bananas,Eggs,Jam,Chicken,
36,Chicken,Butter,Jam,Juice,,,,,,,
37,Apples,Juice,Jam,Chicken,Cheese,Bananas,Eggs,,,,
38,Eggs,Bananas,Juice,Apples,Jam,Cheese,Bread,Chicken,,,
39,Cheese,Eggs,Jam,Juice,,,,,,,
40,Butter,Juice,Cheese,Milk,Eggs,Bananas,Chicken,,,,
41,Eggs,Butter,Cheese,Bread,Chicken,Juice,Milk,Bananas,Jam,Apples,
42,Bread,Milk,Jam,Juice,Cheese,,,,,,
43,Bread,Apples,Butter,Bananas,Cheese,Chicken,Jam,Milk,Juice,Eggs,
44,Eggs,Milk,Jam,Chicken,Butter,Apples,Cheese,Bananas,Juice,Bread,
45,Bread,Cheese,Chicken,Bananas,Jam,Milk,Eggs,,,,
46,Apples,Chicken,Butter,Milk,Eggs,Cheese,Bananas,Bread,,,
47,Apples,Jam,Cheese,Milk,Chicken,Juice,,,,,
48,Bread,Butter,Jam,,,,,,,,
49,Jam,Chicken,Juice,Butter,Milk,Bread,Apples,Cheese,,,
50,Bananas,Bread,Cheese,Juice,Apples,Chicken,Eggs,Jam,Butter,,
51,Butter,Apples,Bananas,Juice,Milk,,,,,,
52,Juice,Butter,Eggs,Bread,Apples,Jam,,,,,
53,Jam,Juice,Chicken,Milk,Bananas,,,,,,
54,Bananas,Apples,Eggs,Cheese,Bread,Chicken,Juice,,,,
55,Eggs,Juice,Bread,Cheese,Jam,Milk,Butter,,,,
56,Milk,Juice,Chicken,Eggs,Butter,Cheese,Bananas,Apples,Jam,Bread,
57,Bananas,Chicken,Juice,Butter,Eggs,Bread,Cheese,Apples,Jam,Milk,
58,Apples,Bread,,,,,,,,,
59,Cheese,Apples,Butter,Eggs,Chicken,,,,,,
60,Bananas,Milk,Jam,Chicken,Apples,Eggs,Juice,Bread,Cheese,Butter,
61,Jam,Butter,Chicken,Bananas,Juice,Cheese,Apples,Milk,,,
62,Eggs,,,,,,,,,,
63,Milk,Cheese,Bread,Jam,Apples,Chicken,Eggs,Butter,Bananas,Juice,
64,Bread,Chicken,Bananas,Eggs,Butter,Juice,Cheese,Milk,Jam,,
65,Eggs,,,,,,,,,,
66,Jam,Bread,Apples,Bananas,Chicken,Juice,,,,,
67,Cheese,Bananas,Apples,,,,,,,,
68,Jam,,,,,,,,,,
69,Jam,Chicken,Eggs,Butter,Bread,,,,,,
70,Apples,Cheese,Jam,Juice,Bread,Eggs,Butter,,,,
71,Cheese,Eggs,Juice,Milk,Bananas,Apples,Butter,,,,
72,Bread,Juice,Milk,Cheese,Chicken,Jam,Bananas,Apples,Eggs,Butter,
73,Jam,,,,,,,,,,
74,Cheese,Butter,Milk,Apples,Juice,Chicken,Jam,,,,
75,Cheese,Eggs,Butter,Chicken,Apples,Milk,Bananas,Bread,,,
76,Apples,Cheese,Jam,Eggs,Milk,Bread,Butter,,,,
77,Cheese,Juice,Bread,Apples,Milk,,,,,,
78,Eggs,Bread,Juice,Jam,Bananas,Milk,Apples,,,,
79,Apples,Butter,Chicken,Bananas,Eggs,Bread,,,,,
80,Cheese,Milk,Juice,Butter,Bananas,Apples,Eggs,,,,
81,Apples,Eggs,,,,,,,,,
82,Chicken,Bananas,Bread,Eggs,,,,,,,
83,Juice,Butter,Bananas,Milk,Cheese,Eggs,Jam,Bread,,,
84,Eggs,Bread,Cheese,Chicken,Juice,Apples,Milk,,,,
85,Milk,Cheese,Jam,Chicken,Bread,Apples,Butter,Juice,Bananas,Eggs,
86,Apples,Juice,Jam,Bread,Cheese,Butter,,,,,
87,Jam,Apples,Bread,Butter,Cheese,,,,,,
88,Milk,Chicken,Cheese,Apples,Juice,Bananas,Jam,,,,
89,Bananas,Chicken,Jam,Eggs,Bread,Milk,Juice,Butter,Apples,Cheese,
90,Jam,Cheese,Eggs,,,,,,,,
91,Bread,Bananas,Juice,,,,,,,,
92,Jam,Eggs,Butter,Apples,Milk,Bread,Juice,Chicken,Cheese,Bananas,
93,Butter,Bananas,Eggs,Jam,Bread,Milk,Chicken,Apples,,,
94,Bread,Cheese,Apples,Eggs,Bananas,Chicken,Butter,,,,
95,Eggs,Chicken,Bread,Bananas,Milk,Butter,,,,,
96,Chicken,Juice,Jam,Apples,Butter,Bananas,Eggs,,,,
97,Apples,Milk,Bread,Butter,Cheese,Chicken,,,,,
98,Jam,Apples,Cheese,Eggs,Bread,Juice,Chicken,Bananas,Butter,Milk,
99,Apples,Butter,Bananas,Jam,Cheese,Juice,Chicken,Eggs,Bread,,
100,Bread,Butter,Eggs,Cheese,Juice,Milk,Bananas,Chicken,Apples,Jam,
101,Butter,Jam,,,,,,,,,
102,Milk,Bread,Cheese,Eggs,Chicken,Butter,Juice,Apples,,,
103,Juice,Bananas,Jam,Butter,Bread,,,,,,
104,Bananas,Cheese,Chicken,,,,,,,,
105,Chicken,Eggs,Cheese,Bread,Butter,Juice,Milk,,,,
106,Milk,Eggs,Bananas,,,,,,,,
107,Eggs,Bread,Cheese,Milk,Juice,Chicken,Jam,,,,
108,Eggs,Milk,Chicken,Juice,Apples,Cheese,Jam,,,,
109,Juice,Milk,Jam,Cheese,Bananas,Eggs,Butter,Bread,,,
110,Bananas,,,,,,,,,,
111,Cheese,Butter,Juice,Eggs,Bread,Chicken,Apples,Bananas,,,
112,Apples,Juice,Jam,Butter,Eggs,Cheese,Bread,Chicken,Bananas,,
113,Butter,Bread,Juice,Apples,Bananas,Milk,Chicken,,,,
114,Juice,Butter,Bananas,Chicken,Jam,Cheese,Milk,,,,
115,Jam,,,,,,,,,,
116,Juice,Bananas,Chicken,Bread,Apples,,,,,,
117,Cheese,Chicken,Eggs,Milk,Juice,Apples,Butter,Jam,,,
118,Butter,Eggs,Juice,Bananas,Jam,Apples,,,,,
119,Butter,Bananas,Eggs,Apples,Juice,Bread,Chicken,Jam,,,
120,Milk,Butter,Chicken,Apples,Jam,Bread,Eggs,,,,
121,Milk,Chicken,Eggs,Juice,Bananas,Butter,Bread,Jam,Cheese,,
122,Milk,,,,,,,,,,
123,Chicken,Cheese,Bananas,Juice,Apples,,,,,,
124,Bananas,,,,,,,,,,
125,Chicken,Milk,Jam,Apples,Juice,Bananas,Eggs,,,,
126,Cheese,Juice,Jam,Apples,Chicken,Butter,Bread,Bananas,Eggs,Milk,
127,Butter,Bread,Apples,Milk,Cheese,Juice,Eggs,Jam,Chicken,Bananas,
128,Milk,Juice,Chicken,Jam,Bananas,Butter,Eggs,Bread,Apples,,
129,Butter,Cheese,,,,,,,,,
130,Milk,Bananas,Jam,Chicken,Bread,Butter,Eggs,,,,
131,Jam,Eggs,Milk,Cheese,Chicken,Bread,Bananas,Butter,Apples,Juice,
132,Bread,Bananas,,,,,,,,,
133,Juice,,,,,,,,,,
134,Chicken,Bananas,Cheese,Milk,Bread,Eggs,Butter,Juice,Apples,,
135,Cheese,Apples,Chicken,Bread,Juice,,,,,,
136,Cheese,Milk,Juice,Chicken,Jam,Butter,Eggs,Bananas,Apples,,
137,Bananas,,,,,,,,,,
138,Jam,Bananas,Apples,Cheese,Milk,Chicken,Bread,Eggs,Butter,Juice,
139,Butter,Apples,Cheese,,,,,,,,
140,Jam,Bread,Apples,Eggs,Butter,Bananas,Milk,Juice,Chicken,Cheese,
141,Jam,Milk,Cheese,Eggs,Butter,,,,,,
142,Cheese,Eggs,Apples,Milk,Jam,Juice,Bread,Bananas,Chicken,Butter,
143,Jam,Butter,Cheese,Juice,Bread,Bananas,Eggs,,,,
144,Eggs,Bananas,Apples,Bread,,,,,,,
145,Bananas,Butter,Chicken,Juice,,,,,,,
146,Chicken,Cheese,Bread,Milk,,,,,,,
147,Milk,Jam,Bananas,Apples,Chicken,,,,,,
148,Bananas,,,,,,,,,,
149,Eggs,Milk,,,,,,,,,
150,Bread,Juice,Butter,Milk,Eggs,Cheese,Jam,Apples,Chicken,Bananas,
151,Jam,Cheese,Eggs,Bananas,Apples,Butter,Bread,Juice,,,
152,Butter,Eggs,Apples,Juice,Bananas,Chicken,,,,,
153,Chicken,Milk,Juice,Jam,Bananas,Eggs,Butter,Bread,,,
154,Jam,Milk,Bread,Butter,Cheese,Bananas,Eggs,,,,
155,Eggs,,,,,,,,,,
156,Butter,Milk,Eggs,Cheese,Bread,Juice,Bananas,Apples,Chicken,Jam,
157,Milk,Apples,,,,,,,,,
158,Chicken,Juice,Jam,,,,,,,,
159,Apples,Cheese,Eggs,,,,,,,,
160,Milk,Butter,Chicken,Eggs,Cheese,Bread,Jam,,,,
161,Bread,Apples,Cheese,Bananas,Milk,Eggs,Juice,Butter,Jam,,
162,Milk,Eggs,Juice,Cheese,Butter,Chicken,,,,,
163,Butter,Bread,Milk,Cheese,Jam,Apples,Chicken,Juice,,,
164,Butter,Bread,Apples,Juice,Chicken,Jam,,,,,
165,Cheese,Bread,Juice,Chicken,Butter,Jam,Apples,Bananas,,,
166,Bananas,Chicken,Apples,Bread,Juice,Eggs,Butter,,,,
167,Bananas,Bread,Juice,,,,,,,,
168,Eggs,Cheese,Apples,Juice,Milk,Jam,Butter,Bananas,Chicken,Bread,
169,Jam,Cheese,Eggs,Butter,Milk,Juice,,,,,
170,Apples,Jam,Bread,Juice,Eggs,Milk,Butter,,,,
171,Bread,Apples,Milk,Jam,,,,,,,
172,Butter,Cheese,Chicken,,,,,,,,
173,Eggs,Bananas,Butter,Juice,Milk,Chicken,Bread,Jam,,,
174,Jam,Milk,Bananas,Eggs,Juice,Butter,Apples,Bread,Cheese,Chicken,
175,Butter,Cheese,Juice,Apples,Jam,Eggs,Chicken,Bananas,Milk,,
176,Apples,Bread,Milk,,,,,,,,
177,Apples,Bananas,Butter,,,,,,,,
178,Bananas,Eggs,Apples,Juice,Butter,Bread,Chicken,,,,
179,Bread,Chicken,Apples,Juice,Jam,,,,,,
180,Milk,Chicken,Eggs,Jam,Apples,Juice,Butter,Bananas,Cheese,Bread,
181,Butter,,,,,,,,,,
182,Jam,Milk,Apples,Butter,Cheese,,,,,,
183,Juice,Apples,Jam,Bananas,Milk,Chicken,Eggs,Butter,,,
184,Apples,Butter,Jam,Bananas,,,,,,,
185,Butter,Eggs,Bread,Apples,Milk,Chicken,Juice,Cheese,Jam,Bananas,
186,Cheese,Bananas,Bread,Eggs,,,,,,,
187,Butter,Bread,Eggs,Bananas,Apples,Juice,Jam,Cheese,Chicken,,
188,Butter,Eggs,Cheese,Chicken,Bananas,Jam,Apples,Bread,Juice,Milk,
189,Cheese,Jam,Bread,Juice,Eggs,Chicken,Butter,Apples,Bananas,,
190,Bananas,Jam,Bread,Chicken,Juice,,,,,,
191,Chicken,Cheese,Bread,Juice,Milk,,,,,,
192,Apples,Cheese,Milk,Jam,Butter,Bread,,,,,
193,Eggs,Bread,Chicken,Juice,Cheese,Bananas,Jam,,,,
194,Apples,,,,,,,,,,
195,Bread,Eggs,Jam,Chicken,Cheese,Apples,Bananas,Milk,Butter,Juice,
196,Jam,Juice,Bread,Butter,,,,,,,
197,Milk,Apples,Chicken,Bananas,Eggs,Cheese,Jam,Juice,,,
198,Chicken,,,,,,,,,,
199,Eggs,Milk,Juice,,,,,,,,
200,Juice,Chicken,Cheese,Eggs,Butter,Bread,Apples,,,,
201,Juice,Butter,Bread,,,,,,,,
202,Chicken,Milk,Cheese,,,,,,,,
203,Butter,Apples,Eggs,Bananas,Juice,,,,,,
204,Cheese,Eggs,Bread,Bananas,,,,,,,
205,Eggs,Bread,Apples,Butter,Bananas,Juice,Jam,,,,
206,Chicken,Bread,Milk,Apples,,,,,,,
207,Juice,Bananas,Chicken,,,,,,,,
208,Jam,Eggs,Bread,Butter,Chicken,Cheese,Apples,Milk,Juice,Bananas,
209,Bananas,Jam,Milk,Chicken,Bread,Eggs,Juice,Cheese,Butter,Apples,
210,Juice,Milk,,,,,,,,,
211,Cheese,Jam,Bananas,Bread,Juice,Milk,Butter,Apples,Chicken,Eggs,
212,Juice,Bananas,Butter,Bread,Eggs,,,,,,
213,Chicken,Butter,Jam,Cheese,Bread,Apples,Bananas,Eggs,,,
214,Bread,Juice,,,,,,,,,
215,Eggs,Juice,Chicken,Butter,Cheese,Bananas,Apples,Bread,Milk,Jam,
216,Apples,Butter,Eggs,,,,,,,,
217,Cheese,Bread,Butter,Milk,Apples,,,,,,
218,Juice,Bread,Jam,Butter,Cheese,Chicken,Eggs,,,,
219,Chicken,Juice,Milk,Eggs,Butter,Cheese,Jam,Bananas,Bread,,
220,Bread,Milk,Chicken,Apples,Butter,,,,,,
221,Eggs,Apples,Bananas,Butter,Juice,Cheese,Jam,Milk,Bread,Chicken,
222,Milk,Bananas,,,,,,,,,
223,Apples,Bananas,Juice,Cheese,Jam,Butter,Bread,Eggs,Milk,Chicken,
224,Juice,,,,,,,,,,
225,Eggs,Apples,Bread,Butter,Bananas,Juice,Cheese,Jam,Milk,,
226,Bread,Chicken,Cheese,Juice,Eggs,Apples,Jam,Bananas,Milk,Butter,
227,Bananas,Apples,,,,,,,,,
228,Jam,Chicken,Bananas,Eggs,Butter,Milk,Bread,Apples,Cheese,Juice,
229,Cheese,Jam,Chicken,Bread,Apples,Milk,Butter,Juice,Eggs,Bananas,
230,Eggs,Butter,Juice,Jam,,,,,,,
231,Jam,Apples,Bread,Eggs,Juice,Chicken,Bananas,Milk,Butter,Cheese,
232,Eggs,Jam,Bananas,Bread,Juice,Apples,Milk,Chicken,Butter,Cheese,
233,Milk,Bananas,Jam,,,,,,,,
234,Apples,Eggs,,,,,,,,,
235,Bananas,Eggs,Cheese,Apples,Milk,Jam,Juice,Bread,Chicken,Butter,
236,Jam,Bananas,Cheese,Milk,,,,,,,
237,Juice,Apples,,,,,,,,,
238,Milk,Butter,Cheese,Apples,Bananas,Jam,Eggs,Chicken,Bread,,
239,Bananas,,,,,,,,,,
240,Butter,Chicken,Bananas,Milk,Cheese,Eggs,Bread,Juice,Jam,Apples,
241,Bread,Jam,Eggs,Juice,Chicken,Milk,Cheese,Apples,,,
242,Bread,Juice,Cheese,Jam,Eggs,Butter,Milk,,,,
243,Juice,Butter,Cheese,Milk,Jam,Eggs,Apples,Chicken,Bananas,Bread,
244,Eggs,Chicken,Milk,,,,,,,,
245,Butter,Eggs,Apples,Juice,Cheese,Chicken,,,,,
246,Bread,Eggs,Cheese,,,,,,,,
247,Butter,Juice,Chicken,Eggs,Apples,Bread,Cheese,Bananas,Jam,Milk,
248,Cheese,Jam,Milk,Juice,Butter,,,,,,
249,Bread,Jam,Butter,Cheese,Juice,Milk,,,,,
250,Juice,Apples,Butter,Milk,Eggs,Chicken,,,,,
251,Bananas,,,,,,,,,,
252,Apples,Bread,,,,,,,,,
253,Jam,,,,,,,,,,
254,Jam,Bananas,Chicken,Bread,,,,,,,
255,Butter,Apples,Jam,,,,,,,,
256,Cheese,Juice,Butter,Apples,Bananas,Bread,,,,,
257,Cheese,Eggs,Bread,Juice,Bananas,Milk,,,,,
258,Cheese,Apples,Bananas,Jam,Milk,,,,,,
259,Butter,Milk,Juice,Bananas,Jam,Eggs,Cheese,Bread,Apples,Chicken,
260,Jam,Milk,Apples,Butter,Eggs,Bananas,,,,,
261,Juice,Butter,Cheese,Jam,Bread,Eggs,Apples,Bananas,Chicken,,
262,Apples,Jam,Eggs,Bread,Cheese,Bananas,Butter,Juice,Milk,Chicken,
263,Jam,Bread,Juice,Butter,Apples,Milk,Eggs,,,,
264,Eggs,Apples,Butter,Jam,Chicken,Cheese,Bread,Bananas,Juice,,
265,Eggs,Cheese,Chicken,Bread,,,,,,,
266,Chicken,Eggs,Jam,Butter,Bananas,Cheese,Bread,Milk,Apples,Juice,
267,Butter,Chicken,Bananas,Apples,,,,,,,
268,Juice,Eggs,Bananas,Apples,Cheese,Jam,Bread,Chicken,Butter,Milk,
269,Apples,Chicken,,,,,,,,,
270,Eggs,Bread,Jam,Juice,Bananas,Cheese,Chicken,Butter,,,
271,Cheese,Chicken,Apples,Eggs,Bread,Butter,,,,,
272,Bananas,Jam,Milk,Cheese,Bread,Butter,Eggs,Juice,Chicken,Apples,
273,Cheese,Chicken,Apples,Juice,Bread,Butter,,,,,
274,Eggs,Jam,Bread,Bananas,Milk,Chicken,Apples,,,,
275,Chicken,Juice,Milk,Apples,Bananas,Jam,Bread,Eggs,Butter,Cheese,
276,Butter,Milk,Bananas,,,,,,,,
277,Eggs,Chicken,Juice,Milk,Bread,Jam,Butter,Cheese,Apples,Bananas,
278,Eggs,Bread,Bananas,Juice,Milk,Jam,Butter,Cheese,Chicken,,
279,Butter,Chicken,Cheese,Jam,,,,,,,
280,Eggs,Bread,Chicken,Milk,Bananas,Cheese,Butter,,,,
281,Bread,Butter,Bananas,Eggs,Milk,Apples,Chicken,Juice,Cheese,Jam,
282,Cheese,Chicken,Bread,Eggs,Milk,Apples,Jam,Juice,Butter,Bananas,
283,Bread,Bananas,Chicken,Butter,Eggs,Apples,Milk,Cheese,Juice,,
284,Jam,Bread,Milk,Chicken,Bananas,Eggs,Juice,Apples,Butter,,
285,Bananas,,,,,,,,,,
286,Butter,Apples,Cheese,Bananas,Eggs,Milk,Jam,Chicken,,,
287,Apples,,,,,,,,,,
288,Apples,Cheese,Bananas,Bread,Chicken,Juice,,,,,
289,Jam,Butter,Chicken,Apples,Bread,Bananas,,,,,
290,Jam,Eggs,Juice,Apples,,,,,,,
291,Bananas,Bread,Juice,Jam,Butter,,,,,,
292,Cheese,Apples,Eggs,Butter,,,,,,,
293,Cheese,Jam,Milk,Eggs,Bread,Bananas,Juice,Apples,,,
294,Butter,Apples,,,,,,,,,
295,Butter,Bananas,Chicken,Milk,Eggs,Bread,Juice,Apples,Cheese,Jam,
296,Cheese,Eggs,Jam,Milk,Apples,Butter,,,,,
297,Juice,Bread,Jam,Butter,Apples,Eggs,Milk,,,,
298,Apples,Butter,Jam,Cheese,Chicken,Bread,Juice,,,,
299,Jam,Bananas,,,,,,,,,
300,Juice,Chicken,Milk,Cheese,Eggs,Bananas,,,,,
301,Butter,Bananas,Eggs,,,,,,,,
302,Butter,,,,,,,,,,
303,Butter,Apples,,,,,,,,,
304,Bananas,Cheese,Eggs,Bread,Milk,Butter,Chicken,Apples,,,
305,Eggs,Juice,Bread,Chicken,Butter,Bananas,,,,,
306,Eggs,Apples,Juice,Bread,Milk,Chicken,Bananas,Cheese,,,
307,Apples,Juice,Jam,,,,,,,,
308,Milk,Eggs,,,,,,,,,
309,Milk,Juice,Cheese,,,,,,,,
310,Butter,Apples,Bananas,Jam,Milk,Cheese,Chicken,Juice,Bread,Eggs,
311,Cheese,Jam,Butter,Milk,Eggs,Chicken,Bananas,Apples,Juice,Bread,
312,Eggs,Apples,Juice,,,,,,,,
313,Bananas,Milk,Apples,Juice,Cheese,Jam,,,,,
314,Butter,Milk,Chicken,,,,,,,,
315,Chicken,Milk,Jam,,,,,,,,
316,Chicken,Bread,Butter,,,,,,,,
317,Juice,Apples,Chicken,Milk,Eggs,Butter,Bread,Cheese,Jam,Bananas,
318,Apples,,,,,,,,,,
319,Milk,Bread,Butter,Apples,Bananas,Eggs,,,,,
320,Eggs,,,,,,,,,,
321,Apples,Butter,,,,,,,,,
322,Milk,Bread,Chicken,Eggs,Jam,Juice,,,,,
323,Juice,,,,,,,,,,
324,Bread,Butter,Milk,Jam,Eggs,Apples,Chicken,Juice,Cheese,,
325,Bread,Juice,Milk,,,,,,,,
326,Jam,Apples,Milk,Cheese,Bread,Juice,Chicken,Bananas,Butter,,
327,Chicken,Bananas,Milk,Butter,Bread,Jam,Juice,Cheese,Apples,Eggs,
328,Bananas,,,,,,,,,,
329,Bread,Apples,Eggs,Cheese,Chicken,,,,,,
330,Bananas,Butter,Apples,Milk,Juice,Jam,Cheese,,,,
